Branch,Customer_type,Gender,Product_line,Unit_price,Quantity,Total,Date
A,Normal,Male,Health and beauty,96.58,2,202.818,2019-04-03
C,Member,Female,Food and beverages,99.42,4,417.564,2019-04-04
C,Member,Female,Sports and travel,68.12,1,71.526,2019-04-05
A,Member,Male,Sports and travel,62.62,5,328.755,2019-04-06
A,Normal,Female,Electronic accessories,60.88,9,575.316,2019-04-07
C,Normal,Female,Health and beauty,54.92,8,461.328,2019-04-08
B,Member,Male,Home and lifestyle,30.12,8,253.008,2019-04-09
B,Member,Female,Home and lifestyle,86.72,1,91.056,2019-04-10
C,Member,Male,Home and lifestyle,56.11,2,117.831,2019-04-11
B,Member,Female,Sports and travel,69.12,6,435.456,2019-04-12
C,Member,Female,Food and beverages,98.7,8,829.08,2019-04-13
C,Member,Male,Health and beauty,15.37,2,32.277,2019-04-14
B,Member,Female,Electronic accessories,93.96,4,394.632,2019-04-15
B,Member,Male,Health and beauty,56.69,9,535.7205,2019-04-16
B,Member,Female,Food and beverages,20.01,9,189.0945,2019-04-17
B,Member,Male,Electronic accessories,18.93,6,119.259,2019-04-18
C,Member,Female,Fashion accessories,82.63,10,867.615,2019-04-19
C,Member,Male,Food and beverages,91.4,7,671.79,2019-04-20
A,Member,Female,Food and beverages,44.59,5,234.0975,2019-04-21
B,Member,Female,Fashion accessories,17.87,4,75.054,2019-04-22
C,Member,Male,Fashion accessories,15.43,1,16.2015,2019-04-23
B,Normal,Male,Home and lifestyle,16.16,2,33.936,2019-04-24
C,Normal,Female,Electronic accessories,85.98,8,722.232,2019-04-25
A,Member,Male,Home and lifestyle,44.34,2,93.114,2019-04-26
A,Normal,Male,Health and beauty,89.6,8,752.64,2019-04-27
A,Member,Female,Home and lifestyle,72.35,10,759.675,2019-04-28
C,Normal,Male,Electronic accessories,30.61,6,192.843,2019-04-29
C,Member,Female,Sports and travel,24.74,3,77.931,2019-04-30
C,Normal,Male,Home and lifestyle,55.73,6,351.099,2019-05-01
B,Member,Female,Sports and travel,55.07,9,520.4115,2019-05-02
A,Member,Male,Sports and travel,15.81,10,166.005,2019-05-03
B,Member,Male,Health and beauty,75.74,4,318.108,2019-05-04
A,Member,Male,Health and beauty,15.87,10,166.635,2019-05-05
C,Normal,Female,Health and beauty,33.47,2,70.287,2019-05-06
B,Member,Female,Fashion accessories,97.61,6,614.943,2019-05-07
A,Normal,Male,Sports and travel,78.77,10,827.085,2019-05-08
A,Member,Female,Health and beauty,18.33,1,19.2465,2019-05-09
C,Normal,Male,Food and beverages,89.48,10,939.54,2019-05-10
C,Normal,Male,Fashion accessories,62.12,10,652.26,2019-05-11
B,Member,Female,Food and beverages,48.52,3,152.838,2019-05-12
C,Normal,Female,Electronic accessories,75.91,6,478.233,2019-05-13
A,Normal,Male,Home and lifestyle,74.67,9,705.6315,2019-05-14
C,Normal,Female,Electronic accessories,41.65,10,437.325,2019-05-15
C,Member,Male,Fashion accessories,49.04,9,463.428,2019-05-16
A,Member,Female,Fashion accessories,20.01,9,189.0945,2019-05-17
C,Member,Female,Food and beverages,78.31,10,822.255,2019-05-18
C,Normal,Female,Health and beauty,20.38,5,106.995,2019-05-19
C,Normal,Female,Health and beauty,99.19,6,624.897,2019-05-20
B,Normal,Female,Food and beverages,96.68,3,304.542,2019-05-21
C,Normal,Male,Food and beverages,19.25,8,161.7,2019-05-22
C,Member,Female,Food and beverages,80.36,4,337.512,2019-05-23
C,Member,Male,Sports and travel,48.91,5,256.7775,2019-05-24
C,Normal,Female,Sports and travel,83.06,7,610.491,2019-05-25
C,Normal,Male,Fashion accessories,76.52,5,401.73,2019-05-26
A,Member,Male,Food and beverages,49.38,7,362.943,2019-05-27
A,Normal,Male,Sports and travel,42.47,1,44.5935,2019-05-28
B,Normal,Female,Health and beauty,76.99,6,485.037,2019-05-29
C,Member,Female,Home and lifestyle,47.38,4,198.996,2019-05-30
C,Normal,Female,Sports and travel,44.86,10,471.03,2019-05-31
A,Member,Female,Sports and travel,21.98,7,161.553,2019-06-01
B,Member,Male,Health and beauty,64.36,9,608.202,2019-06-02
C,Normal,Male,Health and beauty,89.75,1,94.2375,2019-06-03
A,Normal,Male,Electronic accessories,97.16,1,102.018,2019-06-04
B,Normal,Male,Health and beauty,87.87,10,922.635,2019-06-05
C,Normal,Female,Electronic accessories,12.45,6,78.435,2019-06-06
A,Normal,Male,Food and beverages,52.75,3,166.1625,2019-06-07
B,Normal,Male,Home and lifestyle,82.7,6,521.01,2019-06-08
C,Member,Male,Fashion accessories,48.71,1,51.1455,2019-06-09
C,Normal,Male,Fashion accessories,78.55,9,742.2975,2019-06-10
C,Normal,Female,Electronic accessories,23.07,9,218.0115,2019-06-11
A,Normal,Male,Food and beverages,58.26,6,367.038,2019-06-12
B,Normal,Male,Health and beauty,30.35,7,223.0725,2019-06-13
A,Member,Male,Electronic accessories,88.67,10,931.035,2019-06-14
C,Normal,Male,Fashion accessories,27.38,6,172.494,2019-06-15
A,Normal,Male,Sports and travel,62.13,6,391.419,2019-06-16
C,Normal,Female,Food and beverages,33.98,9,321.111,2019-06-17
C,Member,Male,Electronic accessories,81.97,10,860.685,2019-06-18
B,Member,Female,Sports and travel,16.49,2,34.629,2019-06-19
C,Member,Female,Health and beauty,98.21,3,309.3615,2019-06-20
B,Normal,Female,Fashion accessories,72.84,7,535.374,2019-06-21
A,Member,Male,Home and lifestyle,58.07,9,548.7615,2019-06-22
C,Member,Female,Home and lifestyle,80.79,9,763.4655,2019-06-23
C,Normal,Female,Fashion accessories,27.02,3,85.113,2019-06-24
B,Member,Male,Fashion accessories,21.94,5,115.185,2019-06-25
B,Member,Male,Fashion accessories,51.36,1,53.928,2019-06-26
A,Normal,Female,Food and beverages,10.96,10,115.08,2019-06-27
B,Normal,Male,Home and lifestyle,53.44,2,112.224,2019-06-28
A,Normal,Female,Electronic accessories,99.56,8,836.304,2019-06-29
C,Member,Male,Sports and travel,57.12,7,419.832,2019-06-30
B,Member,Male,Sports and travel,99.96,9,944.622,2019-07-01
C,Member,Male,Home and lifestyle,63.91,8,536.844,2019-07-02
B,Member,Female,Fashion accessories,56.47,8,474.348,2019-07-03
A,Normal,Female,Home and lifestyle,93.69,7,688.6215,2019-07-04
A,Normal,Female,Sports and travel,32.25,5,169.3125,2019-07-05
C,Normal,Female,Fashion accessories,31.73,9,299.8485,2019-07-06
C,Member,Female,Food and beverages,68.54,8,575.736,2019-07-07
B,Normal,Female,Sports and travel,90.28,9,853.146,2019-07-08
B,Normal,Female,Fashion accessories,39.62,7,291.207,2019-07-09
A,Member,Female,Sports and travel,92.13,6,580.419,2019-07-10
B,Normal,Female,Sports and travel,34.84,4,146.328,2019-07-11
B,Member,Male,Electronic accessories,87.45,6,550.935,2019-07-12
C,Normal,Female,Health and beauty,81.3,6,512.19,2019-07-13
C,Normal,Male,Fashion accessories,90.22,3,284.193,2019-07-14
A,Normal,Female,Electronic accessories,26.31,5,138.1275,2019-07-15
A,Member,Female,Home and lifestyle,34.42,6,216.846,2019-07-16
B,Normal,Male,Sports and travel,51.91,10,545.055,2019-07-17
A,Normal,Male,Sports and travel,72.5,8,609,2019-07-18
C,Member,Female,Sports and travel,89.8,10,942.9,2019-07-19
C,Member,Male,Health and beauty,90.5,10,950.25,2019-07-20
C,Member,Female,Health and beauty,68.6,10,720.3,2019-07-21
C,Member,Female,Food and beverages,30.41,1,31.9305,2019-07-22
A,Normal,Female,Home and lifestyle,77.95,6,491.085,2019-07-23
C,Normal,Female,Health and beauty,46.26,6,291.438,2019-07-24
A,Member,Female,Fashion accessories,30.14,10,316.47,2019-07-25
C,Normal,Male,Health and beauty,66.14,4,277.788,2019-07-26
B,Member,Male,Home and lifestyle,71.86,8,603.624,2019-07-27
A,Normal,Male,Health and beauty,32.46,8,272.664,2019-07-28
B,Member,Female,Fashion accessories,91.54,4,384.468,2019-07-29
C,Member,Male,Sports and travel,34.56,7,254.016,2019-07-30
A,Normal,Male,Fashion accessories,83.24,9,786.618,2019-07-31
C,Normal,Female,Food and beverages,16.48,6,103.824,2019-08-01
C,Normal,Female,Sports and travel,80.97,8,680.148,2019-08-02
A,Member,Male,Food and beverages,92.29,5,484.5225,2019-08-03
B,Member,Male,Electronic accessories,72.17,1,75.7785,2019-08-04
B,Normal,Male,Home and lifestyle,50.28,5,263.97,2019-08-05
B,Member,Male,Health and beauty,97.22,9,918.729,2019-08-06
B,Normal,Male,Sports and travel,93.39,6,588.357,2019-08-07
C,Normal,Female,Food and beverages,43.18,8,362.712,2019-08-08
A,Normal,Male,Sports and travel,63.69,1,66.8745,2019-08-09
A,Normal,Male,Food and beverages,45.79,7,336.5565,2019-08-10
C,Normal,Male,Sports and travel,76.4,2,160.44,2019-08-11
B,Normal,Male,Food and beverages,39.9,10,418.95,2019-08-12
B,Member,Male,Health and beauty,42.57,8,357.588,2019-08-13
C,Normal,Male,Home and lifestyle,95.58,10,1003.59,2019-08-14
A,Normal,Male,Fashion accessories,98.98,10,1039.29,2019-08-15
A,Normal,Male,Food and beverages,51.28,6,323.064,2019-08-16
A,Member,Male,Sports and travel,69.52,7,510.972,2019-08-17
A,Normal,Male,Health and beauty,70.01,5,367.5525,2019-08-18
B,Member,Male,Food and beverages,80.05,5,420.2625,2019-08-19
C,Normal,Male,Electronic accessories,20.85,8,175.14,2019-08-20
B,Member,Male,Electronic accessories,52.89,6,333.207,2019-08-21
B,Normal,Male,Food and beverages,19.79,8,166.236,2019-08-22
A,Member,Male,Home and lifestyle,33.84,9,319.788,2019-08-23
A,Member,Male,Food and beverages,22.17,8,186.228,2019-08-24
C,Normal,Female,Fashion accessories,22.51,7,165.4485,2019-08-25
A,Normal,Male,Food and beverages,73.88,6,465.444,2019-08-26
C,Member,Male,Health and beauty,86.8,3,273.42,2019-08-27
C,Normal,Male,Fashion accessories,64.26,7,472.311,2019-08-28
C,Member,Male,Food and beverages,38.47,8,323.148,2019-08-29
A,Member,Male,Sports and travel,15.5,10,162.75,2019-08-30
C,Normal,Male,Health and beauty,34.31,8,288.204,2019-08-31
A,Normal,Female,Sports and travel,12.34,7,90.699,2019-09-01
B,Member,Male,Food and beverages,18.08,3,56.952,2019-09-02
B,Member,Female,Home and lifestyle,94.49,8,793.716,2019-09-03
B,Member,Male,Home and lifestyle,46.47,4,195.174,2019-09-04
A,Normal,Male,Home and lifestyle,74.07,1,77.7735,2019-09-05
C,Normal,Female,Home and lifestyle,69.81,4,293.202,2019-09-06
B,Normal,Female,Home and lifestyle,77.04,3,242.676,2019-09-07
B,Normal,Female,Fashion accessories,73.52,2,154.392,2019-09-08
C,Normal,Female,Food and beverages,87.8,9,829.71,2019-09-09
B,Normal,Male,Home and lifestyle,25.55,4,107.31,2019-09-10
A,Normal,Male,Electronic accessories,32.71,5,171.7275,2019-09-11
C,Member,Female,Fashion accessories,74.29,1,78.0045,2019-09-12
C,Member,Male,Health and beauty,43.7,2,91.77,2019-09-13
A,Normal,Female,Home and lifestyle,25.29,1,26.5545,2019-09-14
C,Normal,Male,Health and beauty,41.5,4,174.3,2019-09-15
C,Member,Female,Food and beverages,71.39,5,374.7975,2019-09-16
C,Member,Female,Sports and travel,19.15,6,120.645,2019-09-17
B,Member,Female,Electronic accessories,57.49,4,241.458,2019-09-18
C,Normal,Male,Electronic accessories,61.41,7,451.3635,2019-09-19
B,Member,Male,Health and beauty,25.9,10,271.95,2019-09-20
B,Member,Male,Home and lifestyle,17.77,5,93.2925,2019-09-21
A,Normal,Female,Health and beauty,23.03,9,217.6335,2019-09-22
C,Member,Female,Electronic accessories,66.65,9,629.8425,2019-09-23
C,Member,Female,Home and lifestyle,28.53,10,299.565,2019-09-24
B,Normal,Female,Fashion accessories,30.37,3,95.6655,2019-09-25
B,Normal,Female,Electronic accessories,99.73,9,942.4485,2019-09-26
A,Normal,Male,Electronic accessories,26.23,9,247.8735,2019-09-27
C,Normal,Female,Food and beverages,93.26,9,881.307,2019-09-28
B,Normal,Male,Home and lifestyle,92.36,5,484.89,2019-09-29
B,Normal,Male,Sports and travel,46.42,3,146.223,2019-09-30
B,Member,Female,Sports and travel,29.61,7,217.6335,2019-10-01
A,Normal,Male,Home and lifestyle,18.28,1,19.194,2019-10-02
B,Normal,Female,Sports and travel,24.77,5,130.0425,2019-10-03
A,Member,Female,Electronic accessories,94.64,3,298.116,2019-10-04
B,Normal,Male,Fashion accessories,94.87,8,796.908,2019-10-05
B,Normal,Female,Food and beverages,57.34,3,180.621,2019-10-06
B,Normal,Male,Electronic accessories,45.35,6,285.705,2019-10-07
B,Normal,Male,Food and beverages,62.08,7,456.288,2019-10-08
C,Normal,Male,Electronic accessories,11.81,5,62.0025,2019-10-09
C,Member,Female,Fashion accessories,12.54,1,13.167,2019-10-10
A,Normal,Male,Food and beverages,43.25,2,90.825,2019-10-11
C,Member,Female,Sports and travel,87.16,2,183.036,2019-10-12
B,Member,Male,Health and beauty,69.37,9,655.5465,2019-10-13
C,Member,Male,Electronic accessories,37.06,4,155.652,2019-10-14
B,Member,Female,Electronic accessories,90.7,6,571.41,2019-10-15
A,Normal,Female,Home and lifestyle,63.42,8,532.728,2019-10-16
B,Normal,Female,Fashion accessories,81.37,2,170.877,2019-10-17
B,Member,Female,Electronic accessories,10.59,3,33.3585,2019-10-18
B,Normal,Female,Health and beauty,84.09,9,794.6505,2019-10-19
B,Member,Male,Fashion accessories,73.82,4,310.044,2019-10-20
A,Member,Male,Health and beauty,51.94,10,545.37,2019-10-21
A,Normal,Female,Sports and travel,93.14,2,195.594,2019-10-22
C,Normal,Male,Health and beauty,17.41,5,91.4025,2019-10-23
C,Member,Female,Fashion accessories,44.22,5,232.155,2019-10-24
B,Member,Female,Electronic accessories,13.22,5,69.405,2019-10-25
A,Normal,Male,Fashion accessories,89.69,1,94.1745,2019-10-26
A,Normal,Male,Food and beverages,24.94,9,235.683,2019-10-27
A,Normal,Male,Health and beauty,59.77,2,125.517,2019-10-28
C,Member,Male,Fashion accessories,93.2,2,195.72,2019-10-29
A,Member,Male,Home and lifestyle,62.65,4,263.13,2019-10-30
B,Normal,Male,Home and lifestyle,93.87,8,788.508,2019-10-31
A,Member,Male,Home and lifestyle,47.59,8,399.756,2019-11-01
B,Member,Female,Electronic accessories,81.4,3,256.41,2019-11-02
A,Member,Male,Fashion accessories,17.94,5,94.185,2019-11-03
A,Member,Male,Electronic accessories,77.72,4,326.424,2019-11-04
B,Normal,Male,Food and beverages,73.06,7,536.991,2019-11-05
B,Member,Male,Food and beverages,46.55,9,439.8975,2019-11-06
C,Member,Male,Fashion accessories,35.19,10,369.495,2019-11-07
C,Normal,Female,Sports and travel,14.39,2,30.219,2019-11-08
A,Normal,Male,Home and lifestyle,23.75,4,99.75,2019-11-09
A,Member,Male,Home and lifestyle,58.9,8,494.76,2019-11-10
B,Member,Male,Fashion accessories,32.62,4,137.004,2019-11-11
A,Member,Male,Electronic accessories,66.35,1,69.6675,2019-11-12
A,Member,Male,Home and lifestyle,25.91,6,163.233,2019-11-13
A,Member,Male,Electronic accessories,32.25,4,135.45,2019-11-14
C,Member,Male,Electronic accessories,65.94,4,276.948,2019-11-15
A,Normal,Female,Electronic accessories,75.06,9,709.317,2019-11-16
C,Normal,Female,Fashion accessories,16.45,4,69.09,2019-11-17
B,Member,Female,Fashion accessories,38.3,4,160.86,2019-11-18
A,Member,Female,Sports and travel,22.24,10,233.52,2019-11-19
B,Normal,Male,Sports and travel,54.45,1,57.1725,2019-11-20
A,Member,Female,Sports and travel,98.4,7,723.24,2019-11-21
C,Normal,Male,Home and lifestyle,35.47,4,148.974,2019-11-22
B,Member,Female,Food and beverages,74.6,10,783.3,2019-11-23
A,Member,Male,Home and lifestyle,70.74,4,297.108,2019-11-24
A,Member,Female,Home and lifestyle,35.54,10,373.17,2019-11-25
B,Normal,Female,Sports and travel,67.43,5,354.0075,2019-11-26
C,Member,Female,Health and beauty,21.12,2,44.352,2019-11-27
A,Member,Female,Home and lifestyle,21.54,9,203.553,2019-11-28
A,Normal,Female,Home and lifestyle,12.03,2,25.263,2019-11-29
B,Normal,Female,Health and beauty,99.71,6,628.173,2019-11-30
B,Normal,Male,Fashion accessories,47.97,7,352.5795,2019-12-01
C,Member,Female,Home and lifestyle,21.82,10,229.11,2019-12-02
C,Normal,Female,Fashion accessories,95.42,4,400.764,2019-12-03
C,Member,Male,Fashion accessories,70.99,10,745.395,2019-12-04
A,Member,Male,Sports and travel,44.02,10,462.21,2019-12-05
A,Normal,Female,Home and lifestyle,69.96,8,587.664,2019-12-06
C,Normal,Male,Home and lifestyle,37,1,38.85,2019-12-07
A,Normal,Female,Sports and travel,15.34,1,16.107,2019-12-08
A,Member,Male,Health and beauty,99.83,6,628.929,2019-12-09
A,Member,Female,Health and beauty,47.67,4,200.214,2019-12-10
B,Normal,Male,Health and beauty,66.68,5,350.07,2019-12-11
C,Member,Male,Home and lifestyle,74.86,1,78.603,2019-12-12
C,Normal,Female,Sports and travel,23.75,9,224.4375,2019-12-13
B,Normal,Female,Food and beverages,48.51,7,356.5485,2019-12-14
A,Member,Female,Home and lifestyle,94.88,7,697.368,2019-12-15
B,Member,Male,Electronic accessories,40.3,10,423.15,2019-12-16
C,Normal,Male,Electronic accessories,27.85,7,204.6975,2019-12-17
A,Member,Female,Electronic accessories,62.48,1,65.604,2019-12-18
A,Member,Female,Food and beverages,36.36,2,76.356,2019-12-19
B,Normal,Male,Health and beauty,18.11,10,190.155,2019-12-20
C,Member,Female,Electronic accessories,51.92,5,272.58,2019-12-21
C,Normal,Male,Electronic accessories,28.84,4,121.128,2019-12-22
A,Member,Male,Home and lifestyle,78.38,6,493.794,2019-12-23
A,Member,Male,Home and lifestyle,60.01,4,252.042,2019-12-24
C,Member,Female,Home and lifestyle,88.61,1,93.0405,2019-12-25
C,Normal,Male,Fashion accessories,99.82,2,209.622,2019-12-26
B,Member,Male,Health and beauty,39.01,1,40.9605,2019-12-27
C,Normal,Male,Food and beverages,48.61,1,51.0405,2019-12-28
A,Normal,Female,Electronic accessories,51.19,4,214.998,2019-12-29
B,Normal,Female,Electronic accessories,14.96,8,125.664,2019-12-30
A,Member,Male,Electronic accessories,72.2,7,530.67,2019-12-31
A,Normal,Female,Sports and travel,40.23,7,295.6905,2020-01-01
A,Member,Female,Home and lifestyle,88.79,8,745.836,2020-01-02
A,Member,Female,Electronic accessories,26.48,3,83.412,2020-01-03
A,Normal,Female,Fashion accessories,81.91,2,172.011,2020-01-04
B,Member,Male,Sports and travel,79.93,6,503.559,2020-01-05
C,Member,Male,Fashion accessories,69.33,2,145.593,2020-01-06
A,Member,Female,Food and beverages,14.23,5,74.7075,2020-01-07
A,Member,Female,Health and beauty,15.55,9,146.9475,2020-01-08
C,Member,Female,Electronic accessories,78.13,10,820.365,2020-01-09
C,Member,Male,Food and beverages,99.37,2,208.677,2020-01-10
C,Member,Female,Food and beverages,21.08,3,66.402,2020-01-11
C,Member,Male,Electronic accessories,74.79,5,392.6475,2020-01-12
C,Member,Female,Health and beauty,29.67,7,218.0745,2020-01-13
C,Member,Male,Health and beauty,44.07,4,185.094,2020-01-14
C,Normal,Female,Food and beverages,22.93,9,216.6885,2020-01-15
C,Normal,Female,Health and beauty,39.42,1,41.391,2020-01-16
A,Normal,Male,Health and beauty,15.26,6,96.138,2020-01-17
A,Normal,Female,Fashion accessories,61.77,5,324.2925,2020-01-18
A,Normal,Male,Home and lifestyle,21.52,6,135.576,2020-01-19
B,Normal,Male,Sports and travel,97.74,4,410.508,2020-01-20
A,Member,Male,Food and beverages,99.78,5,523.845,2020-01-21
C,Member,Male,Food and beverages,94.26,4,395.892,2020-01-22
B,Member,Male,Health and beauty,51.13,4,214.746,2020-01-23
A,Member,Male,Electronic accessories,36.36,4,152.712,2020-01-24
B,Normal,Male,Home and lifestyle,22.02,9,208.089,2020-01-25
A,Normal,Male,Food and beverages,32.9,3,103.635,2020-01-26
A,Normal,Male,Fashion accessories,77.02,5,404.355,2020-01-27
A,Member,Male,Food and beverages,23.48,2,49.308,2020-01-28
C,Member,Male,Sports and travel,14.7,5,77.175,2020-01-29
A,Member,Female,Electronic accessories,28.45,5,149.3625,2020-01-30
A,Normal,Male,Fashion accessories,76.4,9,721.98,2020-01-31
B,Normal,Female,Sports and travel,57.95,6,365.085,2020-02-01
C,Normal,Female,Electronic accessories,47.65,3,150.0975,2020-02-02
B,Member,Female,Food and beverages,42.82,9,404.649,2020-02-03
B,Member,Male,Electronic accessories,48.09,3,151.4835,2020-02-04
B,Member,Female,Health and beauty,55.97,7,411.3795,2020-02-05
B,Member,Female,Health and beauty,76.9,7,565.215,2020-02-06
C,Normal,Female,Food and beverages,97.03,5,509.4075,2020-02-07
A,Normal,Male,Sports and travel,44.65,3,140.6475,2020-02-08
A,Normal,Female,Fashion accessories,77.93,9,736.4385,2020-02-09
A,Member,Male,Electronic accessories,71.95,1,75.5475,2020-02-10
C,Member,Female,Home and lifestyle,89.25,8,749.7,2020-02-11
A,Normal,Male,Electronic accessories,26.02,7,191.247,2020-02-12
B,Normal,Female,Health and beauty,13.5,10,141.75,2020-02-13
C,Member,Female,Fashion accessories,99.3,10,1042.65,2020-02-14
A,Normal,Male,Electronic accessories,51.69,7,379.9215,2020-02-15
B,Member,Female,Fashion accessories,54.73,7,402.2655,2020-02-16
B,Member,Male,Home and lifestyle,27,9,255.15,2020-02-17
C,Normal,Female,Electronic accessories,30.24,1,31.752,2020-02-18
B,Member,Female,Food and beverages,89.14,4,374.388,2020-02-19
C,Normal,Female,Fashion accessories,37.55,10,394.275,2020-02-20
C,Normal,Female,Sports and travel,95.44,10,1002.12,2020-02-21
B,Normal,Male,Electronic accessories,27.5,3,86.625,2020-02-22
B,Normal,Male,Sports and travel,74.97,1,78.7185,2020-02-23
A,Member,Male,Food and beverages,80.96,8,680.064,2020-02-24
C,Normal,Female,Food and beverages,94.47,8,793.548,2020-02-25
C,Normal,Male,Food and beverages,99.79,2,209.559,2020-02-26
A,Normal,Male,Home and lifestyle,73.22,6,461.286,2020-02-27
C,Normal,Female,Food and beverages,41.24,4,173.208,2020-02-28
C,Normal,Female,Fashion accessories,81.68,4,343.056,2020-02-29
C,Normal,Female,Electronic accessories,51.32,9,484.974,2020-03-01
A,Member,Male,Home and lifestyle,65.94,4,276.948,2020-03-02
C,Normal,Female,Sports and travel,14.36,10,150.78,2020-03-03
A,Member,Male,Electronic accessories,21.5,9,203.175,2020-03-04
B,Member,Female,Electronic accessories,26.26,7,193.011,2020-03-05
B,Normal,Female,Fashion accessories,60.96,2,128.016,2020-03-06
C,Normal,Female,Home and lifestyle,70.11,6,441.693,2020-03-07
C,Normal,Male,Fashion accessories,42.08,6,265.104,2020-03-08
A,Normal,Female,Home and lifestyle,67.09,5,352.2225,2020-03-09
A,Member,Female,Fashion accessories,96.7,5,507.675,2020-03-10
B,Member,Female,Home and lifestyle,35.38,9,334.341,2020-03-11
C,Normal,Male,Sports and travel,95.49,7,701.8515,2020-03-12
C,Member,Male,Fashion accessories,96.98,4,407.316,2020-03-13
B,Normal,Female,Electronic accessories,23.65,4,99.33,2020-03-14
A,Member,Male,Sports and travel,82.33,4,345.786,2020-03-15
C,Normal,Female,Electronic accessories,26.61,2,55.881,2020-03-16
B,Normal,Female,Food and beverages,99.69,5,523.3725,2020-03-17
C,Member,Female,Food and beverages,74.89,4,314.538,2020-03-18
A,Normal,Female,Food and beverages,40.94,5,214.935,2020-03-19
B,Member,Male,Sports and travel,75.82,1,79.611,2020-03-20
C,Normal,Male,Food and beverages,46.77,6,294.651,2020-03-21
A,Normal,Female,Health and beauty,32.32,10,339.36,2020-03-22
C,Member,Female,Fashion accessories,54.07,9,510.9615,2020-03-23
B,Normal,Male,Food and beverages,18.22,7,133.917,2020-03-24
C,Member,Female,Fashion accessories,80.48,3,253.512,2020-03-25
B,Normal,Female,Fashion accessories,37.95,10,398.475,2020-03-26
A,Member,Male,Electronic accessories,76.82,1,80.661,2020-03-27
A,Member,Female,Sports and travel,52.26,10,548.73,2020-03-28
A,Normal,Female,Health and beauty,79.74,1,83.727,2020-03-29
A,Normal,Female,Health and beauty,77.5,5,406.875,2020-03-30
A,Normal,Female,Food and beverages,54.27,5,284.9175,2020-03-31
B,Normal,Male,Home and lifestyle,13.59,9,128.4255,2020-04-01
B,Member,Female,Health and beauty,41.06,6,258.678,2020-04-02
B,Member,Male,Electronic accessories,19.24,9,181.818,2020-04-03
C,Normal,Female,Food and beverages,39.43,6,248.409,2020-04-04
C,Normal,Male,Home and lifestyle,46.22,4,194.124,2020-04-05
C,Member,Male,Home and lifestyle,13.98,1,14.679,2020-04-06
B,Normal,Female,Fashion accessories,39.75,5,208.6875,2020-04-07
C,Member,Female,Fashion accessories,97.79,7,718.7565,2020-04-08
A,Member,Male,Sports and travel,67.26,4,282.492,2020-04-09
A,Normal,Male,Food and beverages,13.79,5,72.3975,2020-04-10
B,Member,Female,Fashion accessories,68.71,4,288.582,2020-04-11
A,Normal,Female,Home and lifestyle,56.53,4,237.426,2020-04-12
C,Normal,Female,Fashion accessories,23.82,5,125.055,2020-04-13
B,Normal,Female,Health and beauty,34.21,10,359.205,2020-04-14
B,Normal,Male,Sports and travel,21.87,2,45.927,2020-04-15
A,Member,Male,Health and beauty,20.97,5,110.0925,2020-04-16
A,Normal,Male,Sports and travel,25.84,3,81.396,2020-04-17
A,Normal,Male,Home and lifestyle,50.93,8,427.812,2020-04-18
B,Normal,Male,Health and beauty,96.11,1,100.9155,2020-04-19
